time: 0 secds
,0,1,2,3,4,5,6,7,8,9
0,316.32122919702687,313.9147197178731,313.98945122283817,314.4135696488923,314.7698107545525,315.0244700872652,314.9784059543874,312.8658933781753,300.2217970740146,283.46201434100834,
1,304.67831959624425,133.06052498884085,108.8663978227564,106.14690081437104,105.82705179380973,105.96177119251051,108.46046472210149,128.18724290804312,236.7111676836828,262.79192034996515,
2,304.51489821133777,132.11458221699257,107.95914082676323,105.3926357238225,105.20132171001856,105.43843800403657,108.05319207972974,128.16509084154518,238.38174696502904,265.35117046128624,
3,304.67908056142744,133.06493416339188,108.86992054615881,106.14929183305158,105.8287720972126,105.9643967657484,108.48035086057425,128.36761475664397,237.83786773913894,264.3022520444446,
4,316.41021862128537,315.2019273032303,315.2403529198889,315.45383962077915,315.6332851400805,315.76762062583725,315.8225187639952,315.4184211591111,312.5273997754257,308.6786558754404,

time: 16 secds
,0,1,2,3,4,5,6,7,8,9
0,316.2855678853815,313.64643078973694,313.6993125762755,314.16513448215807,314.5623806498252,314.84340843303784,314.7708539885794,312.4334882774286,299.40094504254614,282.6185497249776,
1,303.37843238159735,127.72086660276935,101.88521566869196,98.81807881672917,98.4476753337584,98.61534146414517,101.37571495264531,121.87036816166757,229.51629895627272,256.4147215138784,
2,303.183712101164,126.69902371692415,100.89729854167534,97.99447677461546,97.76408335685564,98.04407882867609,100.93343650063045,121.83388415872619,231.03285822908677,258.4393645720934,
3,303.3794196011097,127.72602450471705,101.8893913785841,98.82092677183991,98.4497422762115,98.6185814674966,101.39882321096502,122.06254326795293,230.60107845604645,257.6823183850085,
4,316.3922686135787,315.06676080762855,315.09438284715014,315.3290061100872,315.5293222947408,315.6789414428223,315.7359027829372,315.28623259514603,312.28281957150693,308.4183652640054,

time: 17 secds
,0,1,2,3,4,5,6,7,8,9
0,316.2461451344168,313.3743671532596,313.4012265283101,313.90838133160577,314.34756860090295,314.65489953593556,314.55243717572426,311.9921397240657,298.6110528172368,281.8157714633499,
1,302.050126706752,122.82319501529186,95.43757426688235,92.02047965132284,91.59679501309186,91.79910423705921,94.8109242592487,115.95483535992885,222.4612307784765,250.0412307341777,
2,301.821113267822,121.72739405263455,94.37045361568296,91.12840364471546,90.85598454086228,91.18052251985485,94.334000211047,115.8984972818344,223.78082466232794,251.46898010686078,
3,302.0513832994343,122.82915373441955,95.44245818456598,92.02382715243938,91.59924569601793,91.80302404670483,94.83725224690588,116.15620992132337,223.48393654983994,251.03749989274039,
4,316.3724146019195,314.9296122610031,314.9443391447936,315.199943766381,315.42167122629417,315.58690445552935,315.6453978920631,315.15007261422414,312.0419996621295,308.16414361995743,

time: 18 secds
,0,1,2,3,4,5,6,7,8,9
0,316.202905057361,313.09922876416135,313.0960906747773,313.6439903077015,314.1258732579013,314.45928594193276,314.3236819445295,311.5432402556591,297.8486373687336,281.0488365212501,
1,300.69708587716116,118.32583822607792,89.48271611099933,85.71614291784664,85.2368467363362,85.47493381827893,88.7257990740651,110.40756136846946,215.56225451105757,243.7064563217876,
2,300.43078775710393,117.15814332948095,88.33813472587262,84.75672368014678,84.43968300046254,84.80981473384394,88.21458045218908,110.32540821693466,216.64378606941673,244.48072635748656,
3,300.69865904201686,118.33264758416951,89.48836183741567,85.72003211655029,85.23971842051031,85.47959298445548,88.75527064692734,110.61526515239724,216.50357909341196,244.40561223395585,
4,316.35062631281437,314.7908318031646,314.79066887173207,315.06699161961717,315.31058845279654,315.49170473693164,315.5512006578159,315.01029765576794,311.80441090035754,307.9151561248407,

time: 19 secds
,0,1,2,3,4,5,6,7,8,9
0,316.15580315453525,312.8216224229819,312.7847294145142,313.37259604871014,313.8977561633908,314.25688832137166,314.0851069435128,311.08799100355066,297.1106971387023,280.3136063518647,
1,299.3226343317385,114.19137494612042,83.98286142485941,79.86975475917669,79.33291752427037,79.60737068403164,83.08319108677995,105.1990964265254,208.83211779930107,237.43938427519575,
2,299.0160721284309,112.9539258281429,82.7627917583711,78.84434747243569,78.4804525950439,78.89663502021654,82.53799810210742,105.08482992370965,209.63661198613642,237.5091581620916,
3,299.3245753384109,114.19908252924381,83.98932074491482,79.87422716607416,79.33624730106867,79.61282140375654,83.11565760158996,105.41005024046449,209.67373647139436,237.81835979155946,
4,316.326879151562,314.6507231929309,314.63378289166275,314.93046639648577,315.19631233328755,315.3935232899586,315.4534981473334,314.8672228972275,311.5696161852541,307.6707164727858,

time: 20 secds
,0,1,2,3,4,5,6,7,8,9
0,316.1048050710827,312.5420732980223,312.4678987290358,313.0947904124968,313.6636446236761,314.04800769067407,313.83721934181955,310.6274293333912,296.3946472800715,279.6065359252204,
1,297.9297741151468,110.38616509978796,78.9030197034201,74.44846806242472,73.85255675430182,74.1634455798837,77.84887472106739,100.30313670819541,202.28055985488095,231.26382356519935,
2,297.5799885929648,109.08113917796476,77.60961439300324,73.35861369191727,72.94599824849315,73.40812460277206,77.2699812253922,100.15021848308686,202.7713579305054,230.58346876790227,
3,297.9321382818365,110.3948163235231,78.91034243823641,74.45356438633233,73.85638121759392,74.16973139955128,77.88411781341848,100.51410662712696,203.00522783595588,231.3021591468265,
4,316.30115358838697,314.5095495268062,314.4740582308562,314.7906638504579,315.0790643881858,315.29252817767195,315.3524679555796,314.7211282733975,311.33725701923055,307.4302605692776,

